Distance (µm),Raw_data,Fitted_data
0,32823,32823.53072
1,32828,32827.42156
2,32844,32832.82653
3,32860,32840.18493
4,32841,32850.00025
5,32866,32862.82453
6,32888,32879.23124
7,32842,32899.77575
8,32942,32924.94366
9,32966,32955.0891
10,33008,32990.36744
11,33001,33030.66858
12,33083,33075.55916
13,33082,33124.24255
14,33197,33175.54528
15,33294,33227.9372
16,33324,33279.58901
17,33229,33328.46699
18,33300,33372.45948
19,33382,33409.52512
20,33580,33437.8486
21,33514,33455.98768
22,33457,33462.99476
23,33284,33458.49893
24,33463,33442.73847
25,33628,33416.53996
26,33371,33381.24644
27,33228,33338.60336
28,33183,33290.61581
29,33157,33239.39322
30,33292,33186.99818
31,33216,33135.31413
32,33127,33085.94307
33,32984,33040.13964
34,33033,32998.78303
35,32960,32962.38361
36,32906,32931.11788
37,32933,32904.88314
38,32896,32883.36297
39,32854,32866.09506
40,32826,32852.53451
41,32826,32842.10799
42,32822,32834.25603
43,32819,32828.46277
44,32823,32824.27401
45,32828,32821.30536
46,32797,32819.24269
47,32847,32817.83739
48,32813,32816.89844
49,32804,32816.28313
50,32838,32815.88758
51,32821,32815.63813
52,32791,32815.48379
53,32817,32815.39009
54,32801,32815.33427
55,32806,32815.30163
56,32846,32815.28291
57,32808,32815.27236
58,32855,32815.26654
59,32803,32815.26337
